,precision,recall,f1-score,support
DIRECT,0.5802469135802469,0.5949367088607594,0.5875,395.0
EVASIVE,0.513677811550152,0.48011363636363635,0.49632892804698975,352.0
JARGON,0.4962025316455696,0.5130890052356021,0.5045045045045045,382.0
accuracy,0.5314437555358724,0.5314437555358724,0.5314437555358724,0.5314437555358724
macro avg,0.5300424189253229,0.5293797834866659,0.5294444775171647,1129.0
weighted avg,0.5310553477577136,0.5314437555358724,0.5309929170888051,1129.0
