,F1 (Original),F1 (Augmented),Change
Logistic Regression,0.4393202568266815,0.56306950598539,0.12374924915870844
SVM (RBF),0.5102923003918453,0.6119323944579935,0.10164009406614827
XGBoost,0.5081779378308748,0.6256354575975688,0.11745751976669394
