,precision,recall,f1-score,support
DIRECT,0.5201005025125628,0.5240506329113924,0.5220680958385876,395.0
EVASIVE,0.41046831955922863,0.42329545454545453,0.4167832167832168,352.0
JARGON,0.4266304347826087,0.4109947643979058,0.4186666666666667,382.0
accuracy,0.45438441098317095,0.45438441098317095,0.45438441098317095,0.45438441098317095
macro avg,0.4523997522848,0.4527802839515842,0.452505993096157,1129.0
weighted avg,0.4542935102429294,0.45438441098317095,0.45425620622728174,1129.0
