,precision,recall,f1-score,support
DIRECT,0.5707434052757794,0.6025316455696202,0.5862068965517241,395.0
EVASIVE,0.540785498489426,0.5085227272727273,0.5241581259150805,352.0
JARGON,0.5170603674540682,0.5157068062827225,0.5163826998689384,382.0
accuracy,0.5438441098317095,0.5438441098317095,0.5438441098317095,0.5438441098317095
macro avg,0.5428630904064246,0.5422537263750233,0.542249240778581,1129.0
weighted avg,0.5432393276524933,0.5438441098317095,0.5432361167493125,1129.0
