,Accuracy,F1 (macro),F1 (weighted)
Logistic Regression,0.4553 ± 0.0269,0.4530 ± 0.0263,0.4548 ± 0.0264
SVM (RBF),0.5315 ± 0.0366,0.5281 ± 0.0360,0.5296 ± 0.0363
XGBoost,0.5439 ± 0.0293,0.5417 ± 0.0300,0.5427 ± 0.0297
