,TF-IDF Only,Handcrafted Only,Combined
Logistic Regression,0.4393202568266815,0.51770816674009,0.4530482726942949
SVM (RBF),0.5102923003918453,0.5114810260251187,0.5281050750372749
XGBoost,0.5081779378308748,0.5129187453841415,0.5417395042254884
