Components,Logistic Regression,SVM (RBF),XGBoost
25,0.5379177329187523,0.5281139436028132,0.5127637800235503
50,0.5447104629121393,0.5338586941072412,0.5288309769957362
100,0.5192340444790591,0.5270413254934753,0.5155879265618312
200,0.4967406805990275,0.5242255149904484,0.5094775216940374
521,0.4530482726942949,0.5281050750372749,0.5417395042254884
